frame,time,ID,traj,inroi,cx,cy,displ,speed,cumdispl,accel,heading,orient,turnspeed,turnaccel,cumturn,abscumturn,rdist
179,5.97,F2,1,1,135.0,183.0,11.4,34.21,1777.0,-112.26,164.7,,3.18,11.31,-291.0,770.6,135.0
180,6.0,F2,1,1,140.0,172.0,12.08,36.25,1789.1,61.32,155.6,,-9.19,-12.37,-300.2,779.8,140.0
181,6.03,F2,1,1,145.0,160.0,13.0,39.0,1802.1,82.53,157.4,,1.82,11.01,-298.3,781.6,145.0
182,6.07,F2,1,1,150.0,149.0,12.08,36.25,1814.2,-82.53,155.6,,-1.82,-3.65,-300.2,783.4,149.0
183,6.1,F2,1,1,156.0,138.0,12.53,37.59,1826.7,40.22,151.4,,-4.17,-2.34,-304.3,787.6,138.0
184,6.13,F2,1,1,162.0,127.0,12.53,37.59,1839.2,0.0,151.4,,0.0,4.17,-304.3,787.6,127.0
185,6.17,F2,1,1,168.0,116.0,12.53,37.59,1851.8,0.0,151.4,,0.0,0.0,-304.3,787.6,116.0
186,6.2,F2,1,1,175.0,106.0,12.21,36.62,1864.0,-29.11,145.0,,-6.38,-6.38,-310.7,794.0,106.0
187,6.23,F2,1,1,182.0,96.0,12.21,36.62,1876.2,0.0,145.0,,0.0,6.38,-310.7,794.0,96.0
188,6.27,F2,1,1,190.0,87.0,12.04,36.12,1888.2,-14.85,138.4,,-6.64,-6.64,-317.3,800.6,87.0
189,6.3,F2,1,1,197.0,78.0,11.4,34.21,1899.6,-57.59,142.1,,3.76,10.4,-313.6,804.4,78.0
190,6.33,F2,1,1,204.0,70.0,10.63,31.89,1910.3,-69.44,138.8,,-3.31,-7.07,-316.9,807.7,70.0
191,6.37,F2,1,1,212.0,62.0,11.31,33.94,1921.6,61.52,135.0,,-3.81,-0.5,-320.7,811.5,62.0
192,6.4,F2,1,1,220.0,56.0,10.0,30.0,1931.6,-118.23,126.9,,-8.13,-4.32,-328.8,819.6,56.0
193,6.43,F2,1,1,228.0,49.0,10.63,31.89,1942.2,56.71,131.2,,4.32,12.45,-324.5,823.9,49.0
194,6.47,F2,1,1,235.0,44.0,8.6,25.81,1950.8,-182.5,125.5,,-5.65,-9.96,-330.2,829.6,44.0
195,6.5,F2,1,1,243.0,40.0,8.94,26.83,1959.8,30.78,116.6,,-8.97,-3.32,-339.1,838.5,40.0
196,6.53,F2,1,1,250.0,37.0,7.62,22.85,1967.4,-119.56,113.2,,-3.37,5.61,-342.5,841.9,37.0
197,6.57,F2,1,1,258.0,34.0,8.54,25.63,1975.9,83.54,110.6,,-2.64,0.72,-345.2,844.6,34.0
198,6.6,F2,1,1,265.0,33.0,7.07,21.21,1983.0,-132.56,98.1,,-12.43,-9.78,-357.6,857.0,33.0
199,6.63,F2,1,1,272.0,33.0,7.0,21.0,1990.0,-6.4,90.0,,-8.13,4.3,-365.7,865.1,33.0
200,6.67,F2,1,1,279.0,35.0,7.28,21.84,1997.3,25.21,74.1,,-15.94,-7.82,-381.7,881.1,35.0
201,6.7,F2,1,1,285.0,37.0,6.32,18.97,2003.6,-86.0,71.6,,-2.49,13.46,-384.1,883.5,37.0
202,6.73,F2,1,1,291.0,41.0,7.21,21.63,2010.8,79.79,56.3,,-15.26,-12.77,-399.4,898.8,41.0
203,6.77,F2,1,1,297.0,46.0,7.81,23.43,2018.6,53.92,50.2,,-6.12,9.14,-405.5,904.9,46.0
204,6.8,F2,1,1,302.0,53.0,8.6,25.81,2027.2,71.29,35.5,,-14.66,-8.54,-420.2,919.6,53.0
205,6.83,F2,1,1,307.0,61.0,9.43,28.3,2036.6,74.85,32.0,,-3.53,11.12,-423.7,923.1,61.0
206,6.87,F2,1,1,311.0,71.0,10.77,32.31,2047.4,120.27,21.8,,-10.2,-6.67,-433.9,933.3,71.0
207,6.9,F2,1,1,313.0,80.0,9.22,27.66,2056.6,-139.57,12.5,,-9.27,0.93,-443.2,942.6,80.0
208,6.93,F2,1,1,314.0,86.0,6.08,18.25,2062.7,-282.31,9.5,,-3.07,6.21,-446.2,945.6,86.0
209,6.97,F2,1,1,313.0,93.0,7.07,21.21,2069.8,88.95,-8.1,,-17.59,-14.53,-463.8,963.2,93.0
